id,columnId,teamId,tag,text,flag,description,links,jiraUrl,confluenceUrl,strategicCategory,revenueType,revenueUplift,revenueStream,enablerNote,enables,savingAmount,savingKind,savingArea,cadence,startDate,endDate,milestones,outcomeMax,metricName,metricDir,metricValue,metricUnit,strategicNote
s11,coming,payments,,Apple Pay & Google Pay one-tap - 15 SEP,,"Wallet payments skip address entry, card entry and the SCA challenge in one move. This is the payoff for the one-page checkout work — it only became a small change because that landed first.","[{""id"":""l11a"",""url"":""https://threadhouse.atlassian.net/browse/PAY-1188""},{""id"":""l11b"",""url"":""https://www.figma.com/file/7kLm/wallet-buttons""}]",,,beat-competition,direct,1200000,Conversion,,,,,,year,2026-07-27,2026-09-15,"[{""id"":""m11a"",""date"":""2026-08-18"",""label"":""Sandbox certified""},{""id"":""m11b"",""date"":""2026-09-04"",""label"":""Merchant review passed""}]",1800000,,,,,
s12,coming,payments,AT,Klarna pay-in-3 for Austria - 30 OCT,warning,"Austria is our smallest market and our highest average basket, which is exactly the profile that responds to instalments.

**At risk:** Klarna's Austrian entity needs a separate merchant agreement and legal have had it for five weeks.","[{""id"":""l12a"",""url"":""https://threadhouse.slack.com/archives/C04PAY/p1723""}]",,,stay-relevant,direct,310000,Payments,,,,,,year,2026-09-07,2026-10-30,"[{""id"":""m12a"",""date"":""2026-09-28"",""label"":""Contract signed""}]",,,,,,
s13,coming,checkout,,Guest checkout with express address lookup - Mid OCT,,"Forcing account creation before purchase is the oldest self-inflicted conversion wound in ecommerce. Guest checkout, then an optional one-tap account claim on the confirmation page.",,,,do-or-die,metric,,,,,,,,,2026-08-24,2026-10-16,,,Checkout completion,up,4.5,pp,
s14,coming,auth,,Passkeys (WebAuthn) rollout - Q4 2026,warning,"The natural successor to magic links: no email round-trip, phishing-resistant, and it makes the loyalty SSO work in Q1 tractable.

**At risk:** cross-device sync behaviour still differs enough between iOS, Android and Windows that our fallback logic is more complex than the happy path.","[{""id"":""l14a"",""url"":""https://github.com/threadhouse/firefly-auth/pull/842""},{""id"":""l14b"",""url"":""https://www.figma.com/file/2pRt/passkey-prompts""},{""id"":""l14c"",""url"":""https://threadhouse.atlassian.net/wiki/spaces/SEC/pages/91002/Passkeys+RFC""}]",,,stay-relevant,metric,,,Prerequisite for loyalty SSO,,,,,,2026-08-03,2026-12-18,"[{""id"":""m14a"",""date"":""2026-09-15"",""label"":""RFC approved""},{""id"":""m14b"",""date"":""2026-10-20"",""label"":""Staff beta""},{""id"":""m14c"",""date"":""2026-11-24"",""label"":""25% rollout""}]",,Account takeover attempts,down,60,%,
s15,coming,auth,,Session hardening and device list - 20 NOV,,Let people see where they're signed in and revoke a session. Table stakes for anything holding a stored card.,,,,do-or-die,,,,Required before card vaulting ships,,,,,,2026-10-05,2026-11-20,,,,,,,
s16,coming,search,,Visual search: shop the look from a photo - Q4 2026,risk,"Upload or snap a photo, get the closest things we sell. The demo is genuinely impressive.

**Blocked:** the licence on the embedding model doesn't clearly permit commercial use on user-uploaded images. Legal review has been open since July and we are not starting the integration until it closes.","[{""id"":""l16a"",""url"":""https://miro.com/app/board/visual-search-discovery""},{""id"":""l16b"",""url"":""https://threadhouse.atlassian.net/browse/SRCH-402""}]",,,disrupt,,,,Opens the whole inspiration-led shopping surface,,,,,,2026-10-12,2026-12-31,"[{""id"":""m16a"",""date"":""2026-11-02"",""label"":""Legal decision due""}]",,,,,,
s17,coming,catalogue,,AI fit recommendations from returns data - 05 DEC,,"Apparel returns are overwhelmingly a size problem, not a taste problem — ""too small"" and ""too big"" are more than half our return reasons. We already have the ground truth in the returns log; we just weren't using it.

Model suggests a size from the customer's own return history plus the garment's measured tolerances.","[{""id"":""l17a"",""url"":""https://lookerstudio.google.com/reporting/returns-by-reason""},{""id"":""l17b"",""url"":""https://docs.google.com/presentation/d/1kFit/fit-model-proposal""}]",,,beat-competition,metric,,,,,,,,,2026-09-14,2026-12-05,"[{""id"":""m17a"",""date"":""2026-10-26"",""label"":""Model beats baseline""}]",,Size-related returns,down,18,%,
s18,coming,fulfilment,FR,Same-day delivery pilot in Paris - 18 NOV,warning,"Three arrondissements, one micro-hub, cut-off at 13:00.

**At risk:** the carrier contract is unsigned and the micro-hub lease depends on it. Every week of delay pushes us closer to peak, and we will not launch a new delivery promise during Black Friday.","[{""id"":""l18a"",""url"":""https://threadhouse.atlassian.net/browse/FUL-289""}]",,,beat-competition,direct,180000,New markets,,,,,,year,2026-09-21,2026-11-18,"[{""id"":""m18a"",""date"":""2026-10-09"",""label"":""Carrier contract""},{""id"":""m18b"",""date"":""2026-11-02"",""label"":""Hub operational""}]",,,,,,
s19,coming,service,,AI triage for inbound tickets - Q4 2026,,"Classify, route, and auto-answer the top twelve intents. Deliberately *not* a chatbot on the storefront — this sits behind the queue, where a wrong answer costs us a re-route rather than a customer.","[{""id"":""l19a"",""url"":""https://www.notion.so/threadhouse/Triage-intents-9c31""}]",,,stay-relevant,saving,,,,,380000,reduce,Tier-1 agent time,year,2026-10-01,2026-12-19,,,,,,,
s20,coming,mobile,,Native app checkout parity - 30 NOV,,"The app still hands off to a web view at payment, which is where the drop-off is. Bringing checkout native closes a 9pp gap against the mobile web funnel.",,,,do-or-die,direct,540000,Conversion,,,,,,year,2026-09-28,2026-11-30,,,,,,,
s21,coming,data,,Real-time recommendation service - Q4 2026,,"Recommendations currently refresh nightly, which means the model has no idea what you looked at four minutes ago. Moving to a streaming feature store fixes the session-level signal.","[{""id"":""l21a"",""url"":""https://github.com/threadhouse/reco-service""}]",,,beat-competition,,,,"Feeds fit, search ranking and the app home",,,,,,2026-08-17,2026-12-11,"[{""id"":""m21a"",""date"":""2026-10-13"",""label"":""Feature store live""}]",,,,,,
s22,after,payments,,Stored-card vaulting and network tokens - Q1 2027,,"Network tokens survive card reissues, so a expired-card churn event stops being a lost subscription. Depends on session hardening landing first.",,,,stay-relevant,metric,,,,,,,,,2027-01-11,2027-03-26,,,Repeat-purchase friction,down,22,%,
s23,after,checkout,,Cart abandonment recovery flows - Mid FEB,,"Triggered email and push for carts left over €40, with a size-back-in-stock variant. Held until the real-time reco service lands so the recovery email can carry a useful alternative rather than the same sold-out item.",,,,beat-competition,direct,620000,Retention,,,,,,year,2027-01-05,2027-02-16,,,,,,,
s24,after,auth,DE/FR,Single sign-on for loyalty members - Q1 2027,,"One identity across the storefront, the app and the in-store tills. Only sensible once passkeys are the primary factor.","[{""id"":""l24a"",""url"":""https://threadhouse.atlassian.net/wiki/spaces/SEC/pages/93110/Loyalty+SSO""}]",,,stay-relevant,,,,Unifies online and in-store customer records,,,,,,2027-01-18,2027-03-31,,,,,,,
s25,after,search,,Natural-language search for occasion queries - Q1 2027,,"""Linen shirt for a wedding in Greece in August"" is a query our current index cannot answer, and it is exactly how people describe what they actually want to buy.","[{""id"":""l25a"",""url"":""https://miro.com/app/board/nl-search-concepts""}]",,,disrupt,,,,Positions us ahead of marketplace search,,,,,,2027-01-25,2027-03-31,,,,,,,
s26,after,catalogue,ES/IT,Catalogue expansion to Spain and Italy - 31 MAR,,"Two new markets, ~40K SKUs to localise, and a sizing standard that agrees with neither FR nor DE. The unified size chart is what makes this a translation job rather than a re-modelling job.","[{""id"":""l26a"",""url"":""https://docs.google.com/spreadsheets/d/2bXy/es-it-localisation""}]",,,beat-competition,direct,2200000,New markets,,,,,,year,2027-01-04,2027-03-31,"[{""id"":""m26a"",""date"":""2027-02-15"",""label"":""ES catalogue complete""}]",3500000,,,,,
s27,after,fulfilment,,Returns consolidation hubs - Q1 2027,,Returns currently travel individually back to the central warehouse. Consolidating at three regional hubs cuts the return leg cost by about a third and gets stock back on sale roughly six days sooner.,,,,stay-relevant,saving,,,,,1100000,reduce,Reverse logistics,year,2027-01-11,2027-03-19,,,,,,,
s28,after,service,NL,Dutch-language support desk - Mid MAR,,"The NL soft launch is running on English-language support, which shows in the CSAT gap. Hiring two native speakers and localising the top 40 help articles.",,,,stay-relevant,metric,,,,,,,,,2027-02-01,2027-03-16,,,NL customer satisfaction,up,12,pp,
s29,after,mobile,,Offline browsing and wishlist sync - Q1 2027,,Commutes are prime browsing time and the Métro has no signal. Cache the last-viewed grid and let the wishlist queue writes until the connection comes back.,,,,stay-relevant,,,,,,,,,,2027-02-08,2027-03-31,,,,,,,
s30,after,data,,Customer data platform consolidation - Q1 2027,warning,"Four systems currently believe they own the customer record and none of them agree.

**At risk:** scope has grown twice since January — it now quietly includes loyalty, consent and the email platform. This needs a hard cut before it starts, not after.","[{""id"":""l30a"",""url"":""https://threadhouse.atlassian.net/browse/DATA-155""},{""id"":""l30b"",""url"":""https://www.notion.so/threadhouse/CDP-scope-7b12""}]",,,do-or-die,saving,,,,,240000,utilize,Duplicate vendor licences,year,2027-01-04,2027-03-31,"[{""id"":""m30a"",""date"":""2027-01-29"",""label"":""Scope frozen""}]",,,,,,
s31,future,payments,,Crypto and stablecoin settlement pilot,done,Deprioritised in June. Demand testing found essentially no overlap between our customer base and people wanting to pay for a jumper in stablecoin. Parked rather than killed — revisit if the regulatory picture changes.,,,,,,,,,,,,,,,,,,,,,,
s32,future,checkout,,Buy-now-pay-later aggregator,,"Rather than integrating each BNPL provider by hand, route to whichever one approves the shopper. Only worth it once we have three or more live.",,,,stay-relevant,,,,,,,,,,,,,,,,,,
s33,future,search,,In-store kiosk search integration,,"Search the full online catalogue from a screen in the shop, order to home from the till. Depends on loyalty SSO for the customer record.",,,,beat-competition,,,,,,,,,,,,,,,,,,
s34,future,catalogue,,3D garment viewer and virtual try-on - Q3 2027,,"The genuinely ambitious one. Needs 3D capture in the studio pipeline, which is a merchandising operations change far more than an engineering one — and that is the part nobody has costed yet.","[{""id"":""l34a"",""url"":""https://www.figma.com/file/5vTr/tryon-exploration""},{""id"":""l34b"",""url"":""https://vendor-portal.styleforge.example.com/demo/threadhouse""}]",,,disrupt,,,,Would halve size-related returns if it works,,,,,,2027-07-05,2027-09-30,,,,,,,
s35,future,service,,Voice support agent for order status,,"""Where is my order"" is 40% of calls and needs no judgement at all. Sequenced after the AI triage work proves the intent classification is trustworthy.",,,,stay-relevant,,,,,,,,,,,,,,,,,,
s36,future,data,,On-device personalisation - Q4 2027,,"Keep the behavioural signal on the phone and ship the model to it, rather than shipping the behaviour to us. Better privacy posture, and it stops the personalisation roadmap being hostage to consent rates.",,,,disrupt,,,,Removes the consent-rate ceiling on personalisation,,,,,,2027-10-04,2027-12-17,,,,,,,
