id,columnId,teamId,tag,text,flag,description,links,jiraUrl,confluenceUrl,strategicCategory,revenueType,revenueUplift,revenueStream,enablerNote,enables,savingAmount,savingKind,savingArea,cadence,startDate,endDate,milestones,outcomeMax,metricName,metricDir,metricValue,metricUnit,strategicNote
auth02,done,auth,,Rate limiting and credential-stuffing defence - 15 MAR,completed,"We were seeing bursts of 40K sign-in attempts an hour against reused credentials from an unrelated breach. Now rate-limited per-account and per-ASN, with a challenge rather than a hard block.","[{""id"":""l-auth02a"",""url"":""https://threadhouse.atlassian.net/wiki/spaces/SEC/pages/80112/Stuffing+postmortem""}]",,,do-or-die,,,,Baseline for any stored-credential feature,,,,,,2026-02-16,2026-03-15,,,,,,,
auth03,done,auth,,GDPR account deletion self-service - 24 JUL,completed,Deletion requests were a manual runbook across six systems with a 30-day clock and no tracking. It was a compliance finding waiting to happen.,,,,do-or-die,saving,,,,,60000,reduce,Manual DSAR handling,year,2026-06-08,2026-07-24,,,,,,,
srch01,done,search,,Typo-tolerant search on the PLP - 22 MAY,completed,"""Sweatshit"" now returns sweatshirts. Roughly one in nine apparel searches contains a typo, and every one of them used to return an empty page.","[{""id"":""l-srch01a"",""url"":""https://lookerstudio.google.com/reporting/search-quality""}]",,,stay-relevant,metric,,,,,,,,,2026-04-06,2026-05-22,,,Search zero-results,down,38,%,
srch02,done,search,,Faceted filtering by fit and fabric - 30 APR,completed,"Apparel shoppers filter by things a generic ecommerce facet set doesn't have: rise, leg shape, sleeve length, whether it's actually cotton.","[{""id"":""l-srch02a"",""url"":""https://www.figma.com/file/4nBx/facet-redesign""}]",,,stay-relevant,,,,,,,,,,2026-03-16,2026-04-30,,,,,,,
srch03,done,search,,Search-as-you-type suggestions - 11 JUN,completed,,,,,stay-relevant,metric,,,,,,,,,2026-05-11,2026-06-11,,,Search exit rate,down,9,%,
srch04,done,search,,Synonym dictionary for apparel terms - 07 AUG,completed,"""Jumper"", ""pullover"", ""sweater"" and ""Pulli"" are the same garment to a shopper and were four different result sets to us. Curated by merchandising rather than learned, deliberately — the vocabulary is small and the cost of a wrong synonym is high.","[{""id"":""l-srch04a"",""url"":""https://docs.google.com/spreadsheets/d/3cWq/synonym-list""}]",,,stay-relevant,,,,,,,,,,2026-07-06,2026-08-07,,,,,,,
cat01,done,catalogue,FR/DE,Unified size chart across FR and DE catalogues - End of JUNE,completed,"The same jumper was listed as M in France and 38 in Germany, with no mapping between them. Merchandising maintained the two by hand, and they disagreed about 8% of the time.","[{""id"":""l-cat01a"",""url"":""https://docs.google.com/spreadsheets/d/1aZ9/size-mapping""},{""id"":""l-cat01b"",""url"":""https://www.notion.so/threadhouse/Sizing-standards-4f2a""}]",,,do-or-die,,,,Prerequisite for AI fit recommendations,,,,,,2026-05-04,2026-06-30,,,,,,,
cat02,done,catalogue,,Bulk product-data import from suppliers - 20 FEB,completed,Onboarding a new supplier's season used to be four days of spreadsheet wrangling. It's now a validated upload with a diff preview.,"[{""id"":""l-cat02a"",""url"":""https://threadhouse.atlassian.net/browse/CAT-330""}]",,,stay-relevant,saving,,,,,140000,reduce,Merchandising ops time,year,2026-01-12,2026-02-20,,,,,,,
cat03,done,catalogue,,Model-worn imagery on every PDP - 27 MAR,completed,Flat-lay only was fine for basics and hopeless for anything with drape. Studio pipeline change more than an engineering one.,,,,beat-competition,metric,,,,,,,,,2026-01-26,2026-03-27,,,PDP add-to-cart,up,7,%,
cat04,done,catalogue,,Fabric composition and care data - 15 MAY,completed,,,,,stay-relevant,,,,Feeds the sustainability filters,,,,,,2026-04-13,2026-05-15,,,,,,,
cat05,done,catalogue,,Automated image background removal - 05 AUG,completed,"About 11,000 images a season were being cut out by hand at an agency. The model does it in the ingest pipeline; the agency now only handles the ones it flags as uncertain.","[{""id"":""l-cat05a"",""url"":""https://github.com/threadhouse/image-pipeline""}]",,,stay-relevant,saving,,,,,310000,reduce,Image retouching agency,year,2026-06-22,2026-08-05,,,,,,,
ful01,done,fulfilment,,Carrier-agnostic label printing - Q2 2026,completed,"One label service, four carriers behind it. Switching a route used to be a deploy; it's now a config change, which is what made the same-day pilot conceivable at all.",,,,stay-relevant,saving,,,Enables the same-day delivery pilot,,95000,reduce,Per-parcel carrier surcharges,year,2026-04-13,2026-06-19,,,,,,,
ful02,done,fulfilment,,Order tracking page with carrier events - 18 MAR,completed,"""Where is my order"" was 40% of contacts. Showing the carrier scan events on our own tracking page took a visible bite out of that before the chatbot ever touched it.","[{""id"":""l-ful02a"",""url"":""https://threadhouse.atlassian.net/browse/FUL-201""}]",,,do-or-die,saving,,,,,210000,reduce,WISMO contacts,year,2026-02-02,2026-03-18,,,,,,,
ful03,done,fulfilment,,Warehouse pick-path optimisation - 12 JUN,completed,Reordering the pick list by physical location rather than SKU. Twelve minutes off the average multi-item order.,,,,stay-relevant,saving,,,,,480000,reduce,Warehouse labour,year,2026-05-04,2026-06-12,,,,,,,
ful04,done,fulfilment,,Split shipments for multi-warehouse orders - 29 JUL,completed,"Previously an order containing one out-of-stock item waited for all of it. Now it ships in parts, and the tracking page explains why.",,,,stay-relevant,metric,,,,,,,,,2026-06-15,2026-07-29,,,Average delivery time,down,1.4,#,
svc01,done,service,,Self-service returns portal - 30 JUN,completed,"Customers book their own return, print their own label, and see the refund clock start. Previously all three of those were an email to an agent.","[{""id"":""l-svc01a"",""url"":""https://threadhouse.atlassian.net/browse/CS-611""}]",,,beat-competition,saving,,,,,420000,reduce,Contact centre handling,year,2026-04-20,2026-06-30,"[{""id"":""m-svc01a"",""date"":""2026-06-01"",""label"":""FR pilot""}]",,,,,,
svc02,done,service,,Help centre rebuild with search - 24 FEB,completed,"The old help centre had 340 articles and no working search, which is the same as having no help centre.","[{""id"":""l-svc02a"",""url"":""https://www.notion.so/threadhouse/Help-centre-IA-8821""}]",,,stay-relevant,,,,,,,,,,2026-01-12,2026-02-24,,,,,,,
svc03,done,service,,Order-status chatbot for the top 5 intents - 17 APR,completed,"Deliberately narrow. Five intents it answers well, and an obvious route to a human for everything else — which is the opposite of how the previous attempt was scoped.","[{""id"":""l-svc03a"",""url"":""https://threadhouse.slack.com/archives/C04CS/p1710""}]",,,stay-relevant,saving,,,,,190000,reduce,Tier-1 contacts,year,2026-02-23,2026-04-17,,,,,,,
svc04,done,service,,Agent desktop consolidation - 22 MAY,completed,"Agents had six tabs open to answer one question. Now three, and the order history is in the same place as the conversation.",,,,stay-relevant,saving,,,,,250000,utilize,Existing Zendesk seats,year,2026-03-30,2026-05-22,,,,,,,
svc05,done,service,,CSAT survey after every resolved ticket - 03 JUL,completed,,"[{""id"":""l-svc05a"",""url"":""https://docs.google.com/forms/d/e/csat-post-resolution""}]",,,stay-relevant,,,,Gives the AI triage work a baseline to beat,,,,,,2026-06-08,2026-07-03,,,,,,,
svc06,done,service,FR,WhatsApp support channel for France - 31 JUL,completed,"French customers overwhelmingly prefer messaging to email, and were using our Instagram DMs as a support channel because we hadn't given them a real one.",,,,beat-competition,metric,,,,,,,,,2026-06-22,2026-07-31,,,FR first-response time,down,64,%,
mob01,done,mobile,,Native wishlist with push price alerts - 12 MAY,completed,Apparel shoppers wait for the sale. Now we tell them when it starts instead of hoping they come back and check.,"[{""id"":""l-mob01a"",""url"":""https://www.loom.com/share/wishlist-walkthrough""}]",,,beat-competition,direct,260000,Retention,,,,,,year,2026-03-23,2026-05-12,,,,,,,
mob02,done,mobile,,App rebuild on a shared design system - 27 MAR,completed,"Two apps that looked like two companies. The rebuild was mostly about making every subsequent app change cheap, and it has.","[{""id"":""l-mob02a"",""url"":""https://www.figma.com/file/8dRp/threadhouse-ds""}]",,,stay-relevant,,,,Halves the cost of every later app feature,,,,,,2026-01-06,2026-03-27,"[{""id"":""m-mob02a"",""date"":""2026-02-17"",""label"":""iOS parity""}]",,,,,,
mob03,done,mobile,,Biometric unlock for returning users - 26 JUN,completed,,,,,stay-relevant,metric,,,,,,,,,2026-05-25,2026-06-26,,,App sign-in completion,up,16,pp,
data01,done,data,,Consent-mode v2 analytics migration - Q1 2026,completed,"Unglamorous and completely load-bearing. Without it, every downstream personalisation model is training on data we aren't allowed to use.",,,,do-or-die,,,,Legal basis for all personalisation work,,,,,,2026-01-12,2026-03-20,,,,,,,
data02,done,data,,Event schema and tracking plan - 13 FEB,completed,"Four teams had four names for ""added to basket"". Now one schema, enforced at the SDK, with a review step before a new event ships.","[{""id"":""l-data02a"",""url"":""https://www.notion.so/threadhouse/Tracking-plan-1a90""}]",,,do-or-die,,,,Every dashboard and model downstream depends on this,,,,,,2026-01-06,2026-02-13,,,,,,,
data03,done,data,,Self-serve dashboards for trading - 21 APR,completed,Trading were asking analysts for the same six numbers every morning.,"[{""id"":""l-data03a"",""url"":""https://lookerstudio.google.com/reporting/trading-daily""}]",,,stay-relevant,saving,,,,,120000,reduce,Analyst ad-hoc requests,year,2026-03-09,2026-04-21,,,,,,,
data04,done,data,,Marketing attribution model v2 - 10 JUL,completed,"Last-click was quietly telling us to spend everything on brand search. The new model is not perfect either, but it is wrong in less expensive ways.","[{""id"":""l-data04a"",""url"":""https://docs.google.com/presentation/d/2mAt/attribution-v2""}]",,,beat-competition,saving,,,,,850000,utilize,Paid media budget,year,2026-05-11,2026-07-10,,,,,,,
pay06,coming,payments,,Apple Pay & Google Pay one-tap - 15 SEP,,"Wallet payments skip address entry, card entry and the SCA challenge in one move. This is the payoff for the one-page checkout work — it only became a small change because that landed first.","[{""id"":""l-pay06a"",""url"":""https://threadhouse.atlassian.net/browse/PAY-1188""},{""id"":""l-pay06b"",""url"":""https://www.figma.com/file/7kLm/wallet-buttons""}]",,,beat-competition,direct,1200000,Conversion,,,,,,year,2026-07-27,2026-09-15,"[{""id"":""m-pay06a"",""date"":""2026-08-18"",""label"":""Sandbox certified""},{""id"":""m-pay06b"",""date"":""2026-09-04"",""label"":""Merchant review passed""}]",1800000,,,,,
pay07,coming,payments,AT,Klarna pay-in-3 for Austria - 30 OCT,warning,"Austria is our smallest market and our highest average basket, which is exactly the profile that responds to instalments.

**At risk:** Klarna's Austrian entity needs a separate merchant agreement and legal have had it for five weeks.","[{""id"":""l-pay07a"",""url"":""https://threadhouse.slack.com/archives/C04PAY/p1723""}]",,,stay-relevant,direct,310000,Payments,,,,,,year,2026-09-07,2026-10-30,"[{""id"":""m-pay07a"",""date"":""2026-09-28"",""label"":""Contract signed""}]",,,,,,
pay08,coming,payments,,PayPal express from the product page - 09 OCT,,"Buy without ever seeing the basket. Works for the single-item impulse purchase, which is a third of our mobile orders.",,,,beat-competition,direct,420000,Conversion,,,,,,year,2026-09-01,2026-10-09,,,,,,,
pay09,coming,payments,,Dunning and retry logic for failed payments - 27 NOV,,"About 4% of card payments fail for recoverable reasons — a soft decline, an expired card, a temporary issuer outage. We currently treat all of them as final.","[{""id"":""l-pay09a"",""url"":""https://linear.app/threadhouse/issue/PAY-88/dunning""}]",,,stay-relevant,direct,640000,Recovered payments,,,,,,year,2026-10-12,2026-11-27,,,,,,,
pay10,coming,payments,NL,Multi-currency pricing for the NL launch - Mid DEC,warning,"The Netherlands is euro, so this is really about rounding rules, price-point psychology per market and tax display — none of which our pricing service models today.

**At risk:** competes directly with peak freeze for engineering time.",,,,do-or-die,,,,Blocks the full NL launch,,,,,,2026-10-26,2026-12-18,,,,,,,
chk05,coming,checkout,,Guest checkout with express address lookup - Mid OCT,,"Forcing account creation before purchase is the oldest self-inflicted conversion wound in ecommerce. Guest checkout, then an optional one-tap account claim on the confirmation page.",,,,do-or-die,metric,,,,,,,,,2026-08-24,2026-10-16,,,Checkout completion,up,4.5,pp,
chk06,coming,checkout,,Basket-level delivery promise - 21 OCT,,"Show the actual delivery date in the basket, computed from stock location and carrier cut-off, rather than a generic ""2–4 working days"".",,,,beat-competition,metric,,,,,,,,,2026-09-14,2026-10-21,,,Basket abandonment,down,5.5,%,
chk07,coming,checkout,,Gift options and gift messaging - 13 NOV,,"Timed for peak deliberately. Gift wrap, a message card, and hiding the price on the packing slip.","[{""id"":""l-chk07a"",""url"":""https://www.figma.com/file/6hGf/gifting""}]",,,stay-relevant,direct,180000,Peak trading,,,,,,once,2026-09-28,2026-11-13,"[{""id"":""m-chk07a"",""date"":""2026-11-06"",""label"":""Peak freeze cutoff""}]",,,,,,
chk08,coming,checkout,,Peak-load hardening for Black Friday - 07 NOV,warning,"Last year checkout degraded for 40 minutes on the Friday evening at roughly 6× baseline traffic. Load testing to 10×, queue-based inventory reservation, and a graceful degradation path that keeps checkout up even if recommendations fall over.

**At risk:** the load-test environment still doesn't mirror production's database topology, so the numbers we're getting aren't trustworthy yet.","[{""id"":""l-chk08a"",""url"":""https://threadhouse.atlassian.net/browse/CHK-540""},{""id"":""l-chk08b"",""url"":""https://threadhouse.atlassian.net/wiki/spaces/ENG/pages/95001/Peak+readiness""}]",,,do-or-die,,,,Protects the single biggest trading weekend of the year,,,,,,2026-08-31,2026-11-07,"[{""id"":""m-chk08a"",""date"":""2026-09-25"",""label"":""Load env parity""},{""id"":""m-chk08b"",""date"":""2026-10-16"",""label"":""10x test passed""},{""id"":""m-chk08c"",""date"":""2026-11-07"",""label"":""Code freeze""}]",,,,,,
auth04,coming,auth,,Passkeys (WebAuthn) rollout - Q4 2026,warning,"The natural successor to magic links: no email round-trip, phishing-resistant, and it makes the loyalty SSO work in Q1 tractable.

**At risk:** cross-device sync behaviour still differs enough between iOS, Android and Windows that our fallback logic is more complex than the happy path.","[{""id"":""l-auth04a"",""url"":""https://github.com/threadhouse/firefly-auth/pull/842""},{""id"":""l-auth04b"",""url"":""https://www.figma.com/file/2pRt/passkey-prompts""},{""id"":""l-auth04c"",""url"":""https://threadhouse.atlassian.net/wiki/spaces/SEC/pages/91002/Passkeys+RFC""}]",,,stay-relevant,metric,,,Prerequisite for loyalty SSO,,,,,,2026-08-03,2026-12-18,"[{""id"":""m-auth04a"",""date"":""2026-09-15"",""label"":""RFC approved""},{""id"":""m-auth04b"",""date"":""2026-10-20"",""label"":""Staff beta""},{""id"":""m-auth04c"",""date"":""2026-11-24"",""label"":""25% rollout""}]",,Account takeover attempts,down,60,%,
auth05,coming,auth,,Session hardening and device list - 20 NOV,,Let people see where they're signed in and revoke a session. Table stakes for anything holding a stored card.,,,,do-or-die,,,,Required before card vaulting ships,,,,,,2026-10-05,2026-11-20,,,,,,,
auth06,coming,auth,,Social sign-in with Apple and Google - 16 OCT,,Requested constantly in research. Sign in with Apple is also a store requirement now that we offer any third-party sign-in at all.,"[{""id"":""l-auth06a"",""url"":""https://threadhouse.condens.io/projects/auth-research/insights""}]",,,stay-relevant,metric,,,,,,,,,2026-09-07,2026-10-16,,,Account creation rate,up,8,pp,
auth07,coming,auth,,Step-up auth for high-value orders - 04 DEC,,,,,,do-or-die,,,,,,,,,,2026-11-02,2026-12-04,,,,,,,
srch05,coming,search,,Visual search: shop the look from a photo - Q4 2026,risk,"Upload or snap a photo, get the closest things we sell. The demo is genuinely impressive.

**Blocked:** the licence on the embedding model doesn't clearly permit commercial use on user-uploaded images. Legal review has been open since July and we are not starting the integration until it closes.","[{""id"":""l-srch05a"",""url"":""https://miro.com/app/board/visual-search-discovery""},{""id"":""l-srch05b"",""url"":""https://threadhouse.atlassian.net/browse/SRCH-402""}]",,,disrupt,,,,Opens the whole inspiration-led shopping surface,,,,,,2026-10-12,2026-12-31,"[{""id"":""m-srch05a"",""date"":""2026-11-02"",""label"":""Legal decision due""}]",,,,,,
srch06,coming,search,,Personalised ranking on the PLP - 02 DEC,,"Same result set, reordered by what this shopper has engaged with. Deliberately ranking-only for now — filtering the catalogue per person is a much bigger promise and a much worse failure mode.","[{""id"":""l-srch06a"",""url"":""https://github.com/threadhouse/reco-service""}]",,,beat-competition,direct,700000,Conversion,,,,,,year,2026-10-19,2026-12-02,,1100000,,,,,
srch07,coming,search,,Out-of-stock demotion in results - 25 SEP,,"We currently show sold-out sizes in the grid with no indication, which produces a click, a disappointment and an exit.",,,,stay-relevant,metric,,,,,,,,,2026-08-24,2026-09-25,,,PLP-to-PDP bounce,down,12,%,
cat06,coming,catalogue,,AI fit recommendations from returns data - 05 DEC,,"Apparel returns are overwhelmingly a size problem, not a taste problem — ""too small"" and ""too big"" are more than half our return reasons. We already have the ground truth in the returns log; we just weren't using it.

Model suggests a size from the customer's own return history plus the garment's measured tolerances.","[{""id"":""l-cat06a"",""url"":""https://lookerstudio.google.com/reporting/returns-by-reason""},{""id"":""l-cat06b"",""url"":""https://docs.google.com/presentation/d/1kFit/fit-model-proposal""}]",,,beat-competition,metric,,,,,,,,,2026-09-14,2026-12-05,"[{""id"":""m-cat06a"",""date"":""2026-10-26"",""label"":""Model beats baseline""}]",,Size-related returns,down,18,%,
cat07,coming,catalogue,,Customer photo reviews on the PDP - 23 OCT,,"Photos of a garment on a real body, with the reviewer's height and usual size. Consistently the single most requested thing in fit research.","[{""id"":""l-cat07a"",""url"":""https://threadhouse.condens.io/projects/fit-confidence/report""}]",,,beat-competition,metric,,,,,,,,,2026-09-07,2026-10-23,,,PDP conversion,up,6,%,
cat08,coming,catalogue,,Sustainability attributes and filters - 11 NOV,,"Material provenance, recycled content and certification badges, filterable. Also gets ahead of the EU green-claims rules rather than scrambling later.",,,,stay-relevant,,,,Pre-empts EU green-claims compliance,,,,,,2026-09-28,2026-11-11,,,,,,,
cat09,coming,catalogue,,Size-and-fit copy from garment measurements - 28 NOV,warning,"Generate ""runs small, size up if between sizes"" from actual measurement data rather than merchandiser intuition.

**At risk:** measurement data is only complete for about 60% of the catalogue, and backfilling it is a supplier conversation, not an engineering one.",,,,stay-relevant,,,,,,,,,,2026-10-12,2026-11-28,,,,,,,
ful05,coming,fulfilment,FR,Same-day delivery pilot in Paris - 18 NOV,warning,"Three arrondissements, one micro-hub, cut-off at 13:00.

**At risk:** the carrier contract is unsigned and the micro-hub lease depends on it. Every week of delay pushes us closer to peak, and we will not launch a new delivery promise during Black Friday.","[{""id"":""l-ful05a"",""url"":""https://threadhouse.atlassian.net/browse/FUL-289""}]",,,beat-competition,direct,180000,New markets,,,,,,year,2026-09-21,2026-11-18,"[{""id"":""m-ful05a"",""date"":""2026-10-09"",""label"":""Carrier contract""},{""id"":""m-ful05b"",""date"":""2026-11-02"",""label"":""Hub operational""}]",,,,,,
ful06,coming,fulfilment,DE,Parcel-locker delivery option - 30 SEP,,"Packstation is how a large share of German shoppers prefer to receive parcels, and it removes the failed-delivery case entirely.",,,,stay-relevant,saving,,,,,130000,reduce,Failed first delivery,year,2026-08-17,2026-09-30,,,,,,,
ful07,coming,fulfilment,,Peak capacity plan with the 3PL - 24 OCT,,"Contracted volumes, surge staffing and a daily cut-off schedule agreed before November rather than negotiated during it.","[{""id"":""l-ful07a"",""url"":""https://threadhouse.sharepoint.com/sites/ops/peak-capacity-2026""}]",,,do-or-die,,,,Protects peak delivery promise,,,,,,2026-09-14,2026-10-24,"[{""id"":""m-ful07a"",""date"":""2026-10-24"",""label"":""Volumes locked""}]",,,,,,
ful08,coming,fulfilment,,Returns fraud detection - 09 DEC,risk,"Wardrobing and empty-parcel returns are a measurable and growing cost, concentrated in a very small number of accounts.

**Blocked:** any model that scores individual customers needs a DPIA, and one hasn't been scheduled. We are not building a system that flags people until the legal basis is written down.","[{""id"":""l-ful08a"",""url"":""https://threadhouse.atlassian.net/browse/FUL-334""}]",,,stay-relevant,saving,,,,,290000,reduce,Return fraud write-off,year,2026-10-26,2026-12-09,"[{""id"":""m-ful08a"",""date"":""2026-11-13"",""label"":""DPIA scheduled""}]",,,,,,
ful09,coming,fulfilment,,Delivery promise on the PDP - 16 OCT,,"The same computed date as the basket promise, moved one step earlier in the journey.",,,,stay-relevant,,,,,,,,,,2026-09-21,2026-10-16,,,,,,,
svc07,coming,service,,AI triage for inbound tickets - Q4 2026,,"Classify, route, and auto-answer the top twelve intents. Deliberately *not* a chatbot on the storefront — this sits behind the queue, where a wrong answer costs us a re-route rather than a customer.","[{""id"":""l-svc07a"",""url"":""https://www.notion.so/threadhouse/Triage-intents-9c31""}]",,,stay-relevant,saving,,,,,380000,reduce,Tier-1 agent time,year,2026-10-01,2026-12-19,,,,,,,
svc08,coming,service,,Proactive delivery-delay notifications - 14 OCT,,We usually know a parcel is late before the customer does. Telling them first converts an angry contact into no contact at all.,,,,beat-competition,saving,,,,,175000,reduce,WISMO contacts,year,2026-09-07,2026-10-14,,,,,,,
svc09,coming,service,,Peak season contact deflection plan - 06 NOV,warning,"Seasonal agent onboarding, extended hours, and a peak-specific help centre front page.

**At risk:** seasonal hiring is behind by about three weeks and the training runway is fixed.",,,,do-or-die,,,,Keeps peak CSAT from collapsing,,,,,,2026-09-28,2026-11-06,"[{""id"":""m-svc09a"",""date"":""2026-10-16"",""label"":""Seasonal agents onboarded""}]",,,,,,
mob04,coming,mobile,,Native app checkout parity - 30 NOV,,"The app still hands off to a web view at payment, which is where the drop-off is. Bringing checkout native closes a 9pp gap against the mobile web funnel.",,,,do-or-die,direct,540000,Conversion,,,,,,year,2026-09-28,2026-11-30,,,,,,,
mob05,coming,mobile,,Push notification preference centre - 07 OCT,,"We currently have one push toggle, so anyone who dislikes marketing pushes also loses delivery updates. Unsurprisingly, opt-out is high.",,,,stay-relevant,metric,,,,,,,,,2026-09-07,2026-10-07,,,Push opt-in rate,up,19,pp,
mob06,coming,mobile,,App-only early access to drops - 20 NOV,,"A concrete reason to install and keep the app, timed for the peak drop calendar.","[{""id"":""l-mob06a"",""url"":""https://www.figma.com/file/3pQz/early-access""}]",,,beat-competition,direct,240000,Retention,,,,,,year,2026-10-12,2026-11-20,,,,,,,
mob07,coming,mobile,,Deep links from email and social - 25 SEP,,"Every marketing link currently dumps app users onto the mobile web homepage, which is an expensive way to lose a session.",,,,stay-relevant,,,,,,,,,,2026-08-24,2026-09-25,,,,,,,
data05,coming,data,,Real-time recommendation service - Q4 2026,,"Recommendations currently refresh nightly, which means the model has no idea what you looked at four minutes ago. Moving to a streaming feature store fixes the session-level signal.","[{""id"":""l-data05a"",""url"":""https://github.com/threadhouse/reco-service""}]",,,beat-competition,,,,"Feeds fit, search ranking and the app home",,,,,,2026-08-17,2026-12-11,"[{""id"":""m-data05a"",""date"":""2026-10-13"",""label"":""Feature store live""}]",,,,,,
data06,coming,data,,Homepage personalisation - 04 DEC,,"Category order and hero content by affinity. Held behind the real-time reco service, since a personalised homepage built on yesterday's data is worse than a merchandised one.",,,,beat-competition,direct,380000,Conversion,,,,,,year,2026-10-19,2026-12-04,,,,,,,
data07,coming,data,,Email send-time optimisation - 21 OCT,,,,,,stay-relevant,metric,,,,,,,,,2026-09-21,2026-10-21,,,Email open rate,up,14,%,
data08,coming,data,,Feature flag and experiment platform - 30 SEP,,"Every team is currently rolling its own flags, and nobody can answer ""what experiments are running right now"".","[{""id"":""l-data08a"",""url"":""https://gitlab.com/threadhouse/experiment-platform""}]",,,stay-relevant,,,,Every A/B test after this one gets cheaper,,,,,,2026-08-10,2026-09-30,,,,,,,
